Type,Lat,Long,Depth,Date
12 LM,-3.94,-21.2,0,6911202217
13 S-IVB,-2.75,-27.86,0,7004150209
14 S-IVB,-8.09,-26.02,0,7102040740
14 LM,-3.42,-19.67,0,7102070045
15 S-IVB,-1.51,-11.81,0,7107292058
15 LM,26.36,0.25,0,7108030303
17 S-IVB,-4.21,-12.31,0,7212102032
M,1.2,-16.49,0,7205130846
M,23.42,7.23,0,7207311808
M,15.19,20.57,0,7208292258
M,-17.94,-20.74,0,7312241003
M,20.35,6.49,0,7407171205
M,-8.88,21.73,0,7411211315
M,2.44,-8.07,0,7412150907
M,-49.93,3.42,0,7503052149
M,-14.33,-8.95,0,7605280602
M,70.76,2.71,0,7201040631
M,28.16,37.94,0,7309262046
M,7.64,-34.55,0,7404191829
M,3.14,41.61,0,7504121812
M,-38.17,59.78,0,7601130711
M,-18.5,-59.98,0,7704172332
M,-9.82,-73.54,0,7706282222
M,-36.4,-121.3,0,7505040959
M,21.54,-85.07,0,7611142312
M,33.14,137.69,0,7309300411
SH,-16.15,-24.62,118,7502132203
SH,11.99,49.33,10,7209171435
SH,45.84,36.81,2,7212062308
SH,64.83,56.25,68,7501120314
SH,42.28,32.12,124,7601041119
SH,50.23,-24.76,63,7603061012
SH,25.01,87.09,130,7407110046
SH,27.41,-90.57,0,7501030142
A01,-15.27,-34.04,905,7309300410
A06,47.22,47.57,881,7607021052
A07,22.94,48.41,902,7607020311
A08,-28,-28.1,940,7705161052
A09,-37.8,-30.8,975,7704161958
A11,8.83,15.75,1179,7706180501
A14,-25.82,-30.48,880,7305281853
A16,6.66,4.06,1044,7210081524
A17,21.56,-16.27,832,7211070852
A18,17.54,31.01,860,7301052250
A20,20.46,-34.84,1021,7205151718
A24,-32.89,-34.32,997,7706121817
A25,33.31,53.67,922,7706092015
A27,20.12,16.21,1010,7705160001
A30,11.22,-30.38,896,7205170042
A33,7.71,113.03,966,7210111935
A34,6.99,-8.42,882,7206141834
A40,-0.9,-10.32,846,7306272348
A41,12.7,-23.1,911,7206081616
A42,12.7,-23.1,911,7305030152
A44,48.74,49.17,975,7405190309
A50,9.36,-47.41,843,7304300105
A51,8.63,14.42,849,7402180835
A97,-2.36,16.39,955,7705190608
